AWS Account #,AWS-Region,ImageId,InstanceId,InstanceName,InstanceStatus,InstanceType,EBSOptimized,TotalVolumeSize,PrivateIP,VPC-id,Subnet-id,KeyPairName,Operating System,SSM Version,Is SSM Latest,KmsKeyId,kmsAlias
502433561161,ap-south-1,ami-05dbd1926bfb06723,i-098c606c9d1b2e9c3,WindowsServer2,stopped,t3.xlarge,True,0,10.0.1.146,vpc-0986c3dfccc7cdf8e,subnet-0ccd6bf69d5a2be9f,WindowsKey,Windows,,,,
502433561161,us-east-1,ami-09f2114fecbe506e2,i-00b6be5cd891ba7f9,534416_JumpBox,stopped,t2.medium,False,0,10.0.19.87,vpc-e7625e82,subnet-29be6107,534416_JumpBox,Windows,,,,
502433561161,us-east-1,ami-05f5c28bb6992ab4b,i-0176baec017413cd2,727488-Devi-VS,stopped,t2.medium,False,0,10.0.27.83,vpc-e7625e82,subnet-0ded80184b41ae209,727488_devi,Windows,,,,
502433561161,us-east-1,ami-0080e4c5bc078760e,i-09eea8a855883f941,582160_test1,stopped,t2.micro,False,0,10.0.29.205,vpc-e7625e82,subnet-04e31867fa5ad6032,582160fnf,Linux/UNIX,,,,
502433561161,us-east-1,ami-04f6790aca59339c8,i-057e75179d77b41e1,314505_DND_cloud9,stopped,t2.micro,False,0,10.0.130.7,vpc-e7625e82,subnet-0978911a079d17c8e,,Linux/UNIX,,,,
502433561161,us-east-1,ami-08c7081300f7d9abb,i-02b3f8d43cca400d4,314505_Win_DoNotDelete,stopped,t2.micro,False,0,10.0.130.10,vpc-e7625e82,subnet-0978911a079d17c8e,314505_new_key,Windows,,,,
502433561161,us-east-1,ami-07ebfd5b3428b6f4d,i-0f06b056dbed8cfbe,Master,stopped,t2.micro,False,0,10.0.0.26,vpc-6192bc04,subnet-0e73ec57,myekskey,Linux/UNIX,,,,
502433561161,us-east-1,ami-07ebfd5b3428b6f4d,i-0e70fc07239f37048,worker,stopped,t2.micro,False,0,10.0.0.24,vpc-6192bc04,subnet-0e73ec57,myekskey,Linux/UNIX,,,,
502433561161,us-east-1,ami-0447cabc0e6e606d6,i-0839bcc1e159ea5b4,aws-cloud9-323030-IDE-cdabb8898d71415cb5ec5639be25f382,stopped,t2.micro,False,0,10.0.4.186,vpc-e7625e82,subnet-19fcde6f,,Linux/UNIX,,,,
502433561161,us-east-1,ami-06f6f33114d2db0b1,i-01603e4abef7277e8,567372_SLA_Project_DND,stopped,t2.micro,False,0,10.0.40.162,vpc-e7625e82,subnet-e7372491,567372_NV_KP_02_SEP_2020,Windows,,,,
